fit_time,predict_time,score_time,score,MAE,MSE,RMSE,feature,cpu
0.0,0.0,0.0,1.0,9.339784489081164e-05,1.8340404233162985e-08,0.00013542674858816844,19,3.00
15638.589859008789,1729.9652099609375,0.0,1.0,9.339875829634063e-05,1.834074328709423e-08,0.00013542800038062377,18,3.00
7758.855819702148,0.0,3913.402557373047,1.0,1.0716705310187535e-05,2.3723610437170304e-10,1.540247072296205e-05,17,3.00
0.0,0.0,0.0,1.0,1.741061811723436e-05,6.561918987555227e-10,2.5616242869623223e-05,16,3.00
0.0,0.0,0.0,1.0,1.5794071320366735e-05,5.165023593535841e-10,2.272668826190002e-05,15,3.00
1003.9806365966797,1040.4586791992188,1030.9219360351562,1.0,1.5894146054051815e-05,5.041722670120831e-10,2.245378068415391e-05,14,3.00
0.0,0.0,0.0,1.0,1.8078124655100206e-05,7.232018685839514e-10,2.6892412844219676e-05,13,3.00
0.0,0.0,0.0,1.0,1.2114734333105541e-05,3.244535936257748e-10,1.80125954161463e-05,12,3.00
0.0,15660.285949707031,2344.1314697265625,1.0,1.3698212812111403e-05,4.0795944652351e-10,2.0198006003650707e-05,11,3.00
0.0,0.0,0.0,1.0,1.408906870589514e-05,4.42835334400359e-10,2.1043653066907347e-05,10,3.00
3792.285919189453,0.0,0.0,1.0,1.408960791498733e-05,4.428320553633675e-10,2.1043575156407417e-05,9,3.00
0.0,0.0,0.0,1.0,9.225534752962023e-06,1.6795915290110203e-10,1.2959905589976418e-05,8,3.00
14098.167419433594,0.0,0.0,1.0,1.0065276607444199e-05,1.7145087311875917e-10,1.3093925046324313e-05,7,3.00
15659.093856811523,0.0,0.0,1.0,8.329250825530228e-06,1.074445976592629e-10,1.036554859422611e-05,6,3.00
0.0,0.0,0.0,0.9999990368852982,17.159228403297067,682.2388217943763,26.11970179374903,5,3.00
0.0,0.0,0.0,0.9999862958132925,82.83069211348969,9707.59575724652,98.52713208678368,4,3.00
0.0,0.0,0.0,0.9999607055161842,135.5536614829553,27834.92172961599,166.83801044610905,3,3.00
0.0,0.0,0.0,0.8867418786387793,6991.1137681946775,80228333.27221385,8957.027033129567,2,3.00
0.0,0.0,0.0,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,3.00
0.0,0.0,0.0,1.0,9.33980533166808e-05,1.8340488823273505e-08,0.0001354270608972723,20,3.00
2001.2855529785156,996.5896606445312,998.4970092773438,1.0,9.339770122096525e-05,1.8340342918998482e-08,0.0001354265222140718,19,1.60
999.45068359375,999.6891021728516,2002.716064453125,1.0,9.339893385913456e-05,1.8340841083313877e-08,0.00013542836144365728,18,1.60
1999.1397857666016,2001.5239715576172,0.0,1.0,1.0716714162602633e-05,2.372367879443096e-10,1.5402492913301717e-05,17,1.60
0.0,10309.457778930664,1209.4974517822266,1.0,1.7408731885855862e-05,6.559910199997526e-10,2.5612321644078903e-05,16,1.60
0.0,0.0,0.0,1.0,1.5792157500982285e-05,5.162781200526249e-10,2.27217543348357e-05,15,1.60
0.0,14533.519744873047,2028.2268524169922,1.0,1.5891995280981065e-05,5.04115011337967e-10,2.2452505680613178e-05,14,1.60
997.7817535400391,1002.0732879638672,2042.531967163086,1.0,1.8079361567894617e-05,7.23396931274813e-10,2.689603932319428e-05,13,1.60
2000.3318786621094,1000.8811950683594,2114.2959594726562,1.0,1.2112606479301272e-05,3.2421587983166295e-10,1.8005995663435635e-05,12,1.60
0.0,0.0,0.0,1.0,1.369922732313474e-05,4.079519470209329e-10,2.0197820353219623e-05,11,1.60
0.0,0.0,16081.571578979492,1.0,1.4089203129212061e-05,4.4289236505665184e-10,2.1045008079272666e-05,10,1.60
0.0,0.0,0.0,1.0,1.4089606702327729e-05,4.4284214661902597e-10,2.1043814925507827e-05,9,1.60
0.0,0.0,12909.412384033203,1.0,9.227047363917033e-06,1.6797510210032894e-10,1.2960520903896145e-05,8,1.60
2000.0934600830078,0.0,2000.3318786621094,1.0,1.0065264723380096e-05,1.7145060820365753e-10,1.3093914930365843e-05,7,1.60
1000.6427764892578,1009.4642639160156,998.4970092773438,1.0,8.329245307929038e-06,1.074444942683963e-10,1.0365543606989279e-05,6,1.60
3140.4495239257812,0.0,0.0,0.9999990368852759,17.159228642781574,682.2388376073314,26.119702096450705,5,1.60
11187.076568603516,999.6891021728516,1310.8253479003906,0.9999862958131858,82.83068987528483,9707.595832800598,98.52713247020131,4,1.60
0.0,0.0,0.0,0.9999607055150894,135.55366439819335,27834.922505110197,166.83801277020234,3,1.60
0.0,13430.118560791016,1057.6248168945312,0.8867418826899541,6991.113688151042,80228330.4024946,8957.026872935829,2,1.60
1991.5103912353516,0.0,2016.7827606201172,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,1.60
1001.1196136474609,998.7354278564453,2000.3318786621094,1.0,9.339785128759104e-05,1.8340400261445166e-08,0.00013542673392445513,20,1.60
1658.2012176513672,869.9893951416016,1202.8217315673828,1.0,9.339777046382855e-05,1.8340370623352817e-08,0.0001354266244995895,19,2.50
2096.891403198242,859.0221405029297,1572.8473663330078,1.0,9.339798931857028e-05,1.834042743342428e-08,0.0001354268342442674,18,2.50
1070.4994201660156,651.3595581054688,1165.3900146484375,1.0,1.0716703642780583e-05,2.3723654248167087e-10,1.5402484945023346e-05,17,2.50
1242.1607971191406,905.9906005859375,1610.5175018310547,1.0,1.741959003993543e-05,6.56904758686617e-10,2.563015330985394e-05,16,2.50
985.3839874267578,572.4430084228516,848.2933044433594,1.0,1.579370970527331e-05,5.164305236053656e-10,2.2725107779840466e-05,15,2.50
906.9442749023438,571.7277526855469,844.4786071777344,1.0,1.588820790251096e-05,5.038796457336458e-10,2.2447263658041838e-05,14,2.50
1195.9075927734375,961.3037109375,1290.5597686767578,1.0,1.807883381843567e-05,7.234121842646564e-10,2.68963228762717e-05,13,2.50
1722.8126525878906,607.9673767089844,924.5872497558594,1.0,1.2112816390678442e-05,3.2423611208924786e-10,1.8006557474688153e-05,12,2.50
926.971435546875,555.2768707275391,815.8683776855469,1.0,1.36968990166982e-05,4.0789827012293703e-10,2.0196491530039e-05,11,2.50
990.1523590087891,1152.2769927978516,851.8695831298828,1.0,1.4090196539958318e-05,4.4290042757431926e-10,2.1045199632560373e-05,10,2.50
1089.0960693359375,669.2409515380859,865.4594421386719,1.0,1.4090786377588908e-05,4.427847038098361e-10,2.1042450042945e-05,9,2.50
947.4754333496094,598.4306335449219,804.4242858886719,1.0,9.227047363917033e-06,1.6797510210032894e-10,1.2960520903896145e-05,8,2.50
1088.1423950195312,536.4418029785156,798.2254028320312,1.0,1.0065264965912017e-05,1.7145064508634315e-10,1.3093916338756069e-05,7,2.50
851.3927459716797,492.33436584472656,748.3959197998047,1.0,8.329244398434336e-06,1.0744448662303804e-10,1.0365543238202136e-05,6,2.50
812.7689361572266,488.9965057373047,740.5281066894531,0.9999990368852714,17.159228579203287,682.238840803881,26.119702157641097,5,2.50
801.8016815185547,477.07557678222656,765.3236389160156,0.9999862958127252,82.83069292704265,9707.596159048375,98.52713412582533,4,2.50
832.0808410644531,514.7457122802734,766.5157318115234,0.9999607055150894,135.55366439819335,27834.922505110197,166.83801277020234,3,2.50
823.2593536376953,472.5456237792969,733.3755493164062,0.8867418826899541,6991.113688151042,80228330.4024946,8957.026872935829,2,2.50
781.0592651367188,504.7321319580078,731.4682006835938,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,2.50
942.7070617675781,585.3176116943359,909.3284606933594,1.0,9.339776039875384e-05,1.8340369882546834e-08,0.00013542662176450697,20,2.50
30957.698822021484,1994.6098327636719,2131.223678588867,1.0,9.339777046382855e-05,1.8340370623352817e-08,0.0001354266244995895,19,2.20
2507.6866149902344,1386.1656188964844,1631.4983367919922,1.0,9.339798931857028e-05,1.834042743342428e-08,0.0001354268342442674,18,2.20
2442.3599243164062,1293.8976287841797,1633.8825225830078,1.0,1.0716703642780583e-05,2.3723654248167087e-10,1.5402484945023346e-05,17,2.20
2368.450164794922,1276.4930725097656,1580.4767608642578,1.0,1.741959003993543e-05,6.56904758686617e-10,2.563015330985394e-05,16,2.20
3096.8189239501953,1668.2147979736328,1826.0478973388672,1.0,1.579370970527331e-05,5.164305236053656e-10,2.2725107779840466e-05,15,2.20
2770.1854705810547,2002.2392272949219,1646.280288696289,1.0,1.588820790251096e-05,5.038796457336458e-10,2.2447263658041838e-05,14,2.20
3892.8985595703125,1251.220703125,1717.3290252685547,1.0,1.807883381843567e-05,7.234121842646564e-10,2.68963228762717e-05,13,2.20
2705.3356170654297,1233.816146850586,1702.3086547851562,1.0,1.2112816390678442e-05,3.2423611208924786e-10,1.8006557474688153e-05,12,2.20
2802.610397338867,1276.7314910888672,1736.1640930175781,1.0,1.36968990166982e-05,4.0789827012293703e-10,2.0196491530039e-05,11,2.20
2892.017364501953,1620.2926635742188,1726.388931274414,1.0,1.4090196539958318e-05,4.4290042757431926e-10,2.1045199632560373e-05,10,2.20
2356.290817260742,1116.7526245117188,1499.8912811279297,1.0,1.4090786377588908e-05,4.427847038098361e-10,2.1042450042945e-05,9,2.20
2644.062042236328,1145.1244354248047,1533.7467193603516,1.0,9.227047363917033e-06,1.6797510210032894e-10,1.2960520903896145e-05,8,2.20
2481.4605712890625,1099.8249053955078,1446.9623565673828,1.0,1.0065264965912017e-05,1.7145064508634315e-10,1.3093916338756069e-05,7,2.20
2465.2481079101562,1061.9163513183594,1481.771469116211,1.0,8.329244398434336e-06,1.0744448662303804e-10,1.0365543238202136e-05,6,2.20
2571.582794189453,1120.0904846191406,1532.5546264648438,0.9999990368852714,17.159228579203287,682.238840803881,26.119702157641097,5,2.20
2670.2880859375,1137.2566223144531,1691.1029815673828,0.9999862958127252,82.83069292704265,9707.596159048375,98.52713412582533,4,2.20
2089.5004272460938,1010.6563568115234,1388.3113861083984,0.9999607055150894,135.55366439819335,27834.922505110197,166.83801277020234,3,2.20
2103.8055419921875,999.2122650146484,2560.3771209716797,0.8867418826899541,6991.113688151042,80228330.4024946,8957.026872935829,2,2.20
2501.249313354492,1482.0098876953125,1824.3789672851562,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,2.20
