fit_time,predict_time,score_time,score,MAE,MSE,RMSE,feature,cpu
1658.2012176513672,869.9893951416016,1202.8217315673828,1.0,9.339777046382855e-05,1.8340370623352817e-08,0.0001354266244995895,19,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
2096.891403198242,859.0221405029297,1572.8473663330078,1.0,9.339798931857028e-05,1.834042743342428e-08,0.0001354268342442674,18,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
1070.4994201660156,651.3595581054688,1165.3900146484375,1.0,1.0716703642780583e-05,2.3723654248167087e-10,1.5402484945023346e-05,17,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
1242.1607971191406,905.9906005859375,1610.5175018310547,1.0,1.741959003993543e-05,6.56904758686617e-10,2.563015330985394e-05,16,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
985.3839874267578,572.4430084228516,848.2933044433594,1.0,1.579370970527331e-05,5.164305236053656e-10,2.2725107779840466e-05,15,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
906.9442749023438,571.7277526855469,844.4786071777344,1.0,1.588820790251096e-05,5.038796457336458e-10,2.2447263658041838e-05,14,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
1195.9075927734375,961.3037109375,1290.5597686767578,1.0,1.807883381843567e-05,7.234121842646564e-10,2.68963228762717e-05,13,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
1722.8126525878906,607.9673767089844,924.5872497558594,1.0,1.2112816390678442e-05,3.2423611208924786e-10,1.8006557474688153e-05,12,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
926.971435546875,555.2768707275391,815.8683776855469,1.0,1.36968990166982e-05,4.0789827012293703e-10,2.0196491530039e-05,11,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
990.1523590087891,1152.2769927978516,851.8695831298828,1.0,1.4090196539958318e-05,4.4290042757431926e-10,2.1045199632560373e-05,10,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
1089.0960693359375,669.2409515380859,865.4594421386719,1.0,1.4090786377588908e-05,4.427847038098361e-10,2.1042450042945e-05,9,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
947.4754333496094,598.4306335449219,804.4242858886719,1.0,9.227047363917033e-06,1.6797510210032894e-10,1.2960520903896145e-05,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
1088.1423950195312,536.4418029785156,798.2254028320312,1.0,1.0065264965912017e-05,1.7145064508634315e-10,1.3093916338756069e-05,7,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
851.3927459716797,492.33436584472656,748.3959197998047,1.0,8.329244398434336e-06,1.0744448662303804e-10,1.0365543238202136e-05,6,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
812.7689361572266,488.9965057373047,740.5281066894531,0.9999990368852714,17.159228579203287,682.238840803881,26.119702157641097,5,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
801.8016815185547,477.07557678222656,765.3236389160156,0.9999862958127252,82.83069292704265,9707.596159048375,98.52713412582533,4,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
832.0808410644531,514.7457122802734,766.5157318115234,0.9999607055150894,135.55366439819335,27834.922505110197,166.83801277020234,3,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
823.2593536376953,472.5456237792969,733.3755493164062,0.8867418826899541,6991.113688151042,80228330.4024946,8957.026872935829,2,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
781.0592651367188,504.7321319580078,731.4682006835938,0.8899154232589379,6874.74636279701,77980298.49660341,8830.645417895761,1,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
942.7070617675781,585.3176116943359,909.3284606933594,1.0,9.339776039875384e-05,1.8340369882546834e-08,0.00013542662176450697,20,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz
